95;Ciudadano Kane;1941;8.3;378,237;T;1h 59min;Drama, Mystery;8.7;8.3;8.2;8.4
96;La caza;2012;8.3;257,893;12;1h 55min;Drama;8.5;8.5;8.2;8.1
97;La chaqueta metálica;1987;8.3;639,167;18;1h 56min;Drama, War;8.6;8.3;8.3;8.2
98;Con la muerte en los talones;1959;8.3;283,326;13;2h 16min;Adventure, Mystery, Thriller;8.6;8.2;8.2;8.5
99;La naranja mecánica;1971;8.3;720,366;(Banned);2h 16min;Crime, Drama, Sci-Fi;8.9;8.4;8.3;8.0
100;Snatch: Cerdos y diamantes;2000;8.3;747,284;18;1h 44min;Comedy, Crime;8.3;8.3;8.3;8.0
101;El chico;1921;8.3;104,344;T;1h 8min;Comedy, Drama, Family;8.5;8.4;8.3;8.3
102;Ladrón de bicicletas;1948;8.3;135,397;T;1h 29min;Drama;8.3;8.3;8.3;8.3
103;Cantando bajo la lluvia;1952;8.3;206,519;T;1h 43min;Comedy, Musical, Romance;8.6;8.4;8.2;8.3
104;El precio del poder;1983;8.3;697,554;18;2h 50min;Crime, Drama;8.5;8.4;8.3;8.0
105;Taxi Driver;1976;8.3;678,312;18;1h 54min;Crime, Drama;8.8;8.3;8.2;8.3
106;Amelie;2001;8.3;675,077;T;2h 2min;Comedy, Romance;8.1;8.2;8.3;8.2
107;Lawrence de Arabia;1962;8.3;253,555;A;3h 48min;Adventure, Biography, Drama;8.8;8.3;8.2;8.4
108;Toy Story 3;2010;8.3;721,116;A;1h 43min;Animation, Adventure, Comedy;8.2;8.4;8.3;8.1
109;El golpe;1973;8.3;229,619;A;2h 9min;Comedy, Crime, Drama;8.4;8.3;8.2;8.3
110;Cafarnaúm;2018;8.4;40,105;16;2h 6min;Drama;7.9;8.5;8.3;8.3
111;Metrópolis;1927;8.3;151,239;T;2h 33min;Drama, Sci-Fi;8.4;8.3;8.2;8.3
112;La muerte tenía un precio;1965;8.3;218,002;18;2h 12min;Western;8.3;8.4;8.3;8.1
113;Vivir;1952;8.3;62,097;12;2h 23min;Drama;8.0;8.4;8.3;8.3
114;Nader y Simin, una separación;2011;8.3;207,243;7;2h 3min;Drama;8.5;8.4;8.3;8.0
115;Perdición;1944;8.3;134,681;A;1h 47min;Crime, Drama, Film-Noir;8.3;8.3;8.2;8.4
116;Matar a un ruiseñor;1962;8.2;282,319;A;2h 9min;Crime, Drama;8.3;8.2;8.2;8.5
117;El apartamento;1960;8.3;152,632;13;2h 5min;Comedy, Drama, Romance;8.5;8.4;8.2;8.2
